program,flags,file_size,total_lines,instructions,functions,basic_blocks,load_instructions,store_instructions,call_instructions,runtime_seconds,peak_memory_mb
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['sroa'],9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'loop-unroll', 'gvn', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'loop-unroll', 'gvn', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'loop-unroll', 'gvn', 'simplifycfg', 'dce', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'dce', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'dce', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'dce', 'gvn', 'loop-unroll', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['sroa'],9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'loop-unroll', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'loop-unroll', 'mem2reg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'loop-unroll', 'mem2reg', 'dce', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['loop-unroll'],9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'sroa', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'sroa', 'gvn', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'sroa', 'gvn', 'dce', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'sroa', 'gvn', 'dce', 'mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['sroa'],9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn', 'loop-unroll', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn', 'loop-unroll', 'dce', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['gvn'],9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'mem2reg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'mem2reg', 'loop-unroll', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'mem2reg', 'loop-unroll', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
