program,flags,file_size,total_lines,instructions,functions,basic_blocks,load_instructions,store_instructions,call_instructions,runtime_seconds,peak_memory_mb
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'dce', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'dce', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'dce', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'gvn', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'gvn', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'gvn', 'loop-unroll', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'loop-unroll', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'loop-unroll', 'dce', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
